Sort,PDF File,Field Type,Field Name,Form,Document Data Long Filler,Form Input Address,Form Input Address Long,Notes
,CatalogInventory.xlsx,,'Summary'!B2,Library-Catalog,Catalog.,Header.LibraryName,Catalog.Header.LibraryName,
,CatalogInventory.xlsx,,'Summary'!B3,Library-Catalog,Catalog.,Header.BranchCode,Catalog.Header.BranchCode,
,CatalogInventory.xlsx,,'Summary'!B4,Library-Catalog,Catalog.,Header.Librarian,Catalog.Header.Librarian,
,CatalogInventory.xlsx,,'Summary'!B5,Library-Catalog,Catalog.,Header.AuditDate,Catalog.Header.AuditDate,
,CatalogInventory.xlsx,,'Summary'!B7,Library-Catalog,Catalog.,Summary.TotalBooks,Catalog.Summary.TotalBooks,
,CatalogInventory.xlsx,,'Summary'!B8,Library-Catalog,Catalog.,Summary.TotalCopies,Catalog.Summary.TotalCopies,
,CatalogInventory.xlsx,,'Summary'!B9,Library-Catalog,Catalog.,Summary.CheckedOut,Catalog.Summary.CheckedOut,
,CatalogInventory.xlsx,,'Summary'!B10,Library-Catalog,Catalog.,Summary.OnShelf,Catalog.Summary.OnShelf,
,CatalogInventory.xlsx,,'Fiction'!A3-22,Library-Catalog,Catalog.,Fiction[].CallNumber,Catalog.Fiction[].CallNumber,
,CatalogInventory.xlsx,,'Fiction'!B3-22,Library-Catalog,Catalog.,Fiction[].Title,Catalog.Fiction[].Title,
,CatalogInventory.xlsx,,'Fiction'!C3-22,Library-Catalog,Catalog.,Fiction[].Author,Catalog.Fiction[].Author,
,CatalogInventory.xlsx,,'Fiction'!D3-22,Library-Catalog,Catalog.,Fiction[].CopiesOnHand,Catalog.Fiction[].CopiesOnHand,
,CatalogInventory.xlsx,,'Fiction'!E3-22,Library-Catalog,Catalog.,Fiction[].LastCheckoutDate,Catalog.Fiction[].LastCheckoutDate,
,CatalogInventory.xlsx,,'Non-Fiction'!A3-22,Library-Catalog,Catalog.,NonFiction[].CallNumber,Catalog.NonFiction[].CallNumber,
,CatalogInventory.xlsx,,'Non-Fiction'!B3-22,Library-Catalog,Catalog.,NonFiction[].Title,Catalog.NonFiction[].Title,
,CatalogInventory.xlsx,,'Non-Fiction'!C3-22,Library-Catalog,Catalog.,NonFiction[].Author,Catalog.NonFiction[].Author,
,CatalogInventory.xlsx,,'Non-Fiction'!D3-22,Library-Catalog,Catalog.,NonFiction[].CopiesOnHand,Catalog.NonFiction[].CopiesOnHand,
,CatalogInventory.xlsx,,'Non-Fiction'!E3-22,Library-Catalog,Catalog.,NonFiction[].Subject,Catalog.NonFiction[].Subject,
,CatalogInventory.xlsx,,'Childrens'!A3-22,Library-Catalog,Catalog.,Childrens[].CallNumber,Catalog.Childrens[].CallNumber,
,CatalogInventory.xlsx,,'Childrens'!B3-22,Library-Catalog,Catalog.,Childrens[].Title,Catalog.Childrens[].Title,
,CatalogInventory.xlsx,,'Childrens'!C3-22,Library-Catalog,Catalog.,Childrens[].Author,Catalog.Childrens[].Author,
,CatalogInventory.xlsx,,'Childrens'!D3-22,Library-Catalog,Catalog.,Childrens[].CopiesOnHand,Catalog.Childrens[].CopiesOnHand,
,CatalogInventory.xlsx,,'Childrens'!E3-22,Library-Catalog,Catalog.,Childrens[].AgeRange,Catalog.Childrens[].AgeRange,
